date,market_regime,nav_before,nav_after,daily_pnl,daily_return,exposure,holdings_count,defensive_daily_pnl,cyclical_daily_pnl,realized_pnl_today,unrealized_pnl_today,fees_today,tax_today,slippage_today,trade_count,buy_count,sell_count
2024-08-30,risk_off,198040.23487845008,197777.23487845008,-263.0,-0.001328012967473099,0.3207447006678321,7,-215.40494356516805,-47.59505643483195,0.0,-263.0,0.0,0.0,0.0,0,0,0
2024-09-02,risk_off,197777.23487845008,197366.23487845008,-411.0,-0.0020780955920057854,0.31933020376466403,7,-337.27758825862753,-73.72241174137247,0.0,-411.0,0.0,0.0,0.0,0,0,0
2024-09-03,risk_off,197366.23487845008,197884.23487845008,518.0,0.002624562404602871,0.32111198771863325,7,425.2714539760477,92.72854602395229,0.0,518.0,0.0,0.0,0.0,0,0,0
2024-09-04,risk_off,197884.23487845008,198120.23487845008,236.0,0.0011926164817776537,0.32192067629603527,7,194.29787234042553,41.702127659574465,0.0,236.0,0.0,0.0,0.0,0,0,0
2024-09-05,risk_off,198120.23487845008,198494.23487845008,374.0,0.0018877425631433102,0.3231983036650144,7,308.2980063286206,65.70199367137937,0.0,374.0,0.0,0.0,0.0,0,0,0
2024-09-06,risk_off,198494.23487845008,189644.23487845008,-8850.0,-0.04458567779270459,0.2916144539560916,7,-7052.091206625319,-1797.9087933746812,0.0,-8850.0,0.0,0.0,0.0,0,0,0
2024-09-09,risk_off,189644.23487845008,189309.23487845008,-335.0,-0.0017664655095616997,0.290360900963407,7,-267.3820222675011,-67.6179777324989,0.0,-335.0,0.0,0.0,0.0,0,0,0
2024-09-10,risk_off,189309.23487845008,189667.23487845008,358.0,0.001891085768900082,0.2917003563396501,7,286.66012363084263,71.33987636915735,0.0,358.0,0.0,0.0,0.0,0,0,0
2024-09-11,risk_off,189667.23487845008,188915.23487845008,-752.0,-0.003964838737075098,0.28888088372075155,7,-603.457470590391,-148.54252940960896,0.0,-752.0,0.0,0.0,0.0,0,0,0
2024-09-12,risk_off,188915.23487845008,189427.03710405008,511.80222559999675,0.0027091633235895207,0.3251225429143516,8,421.3453560389536,90.45686956104315,0.0,511.80222559999675,1.9497743999999995,0.0,3.2479999999992515,1,1,0
2024-09-13,risk_off,189427.03710405008,189306.03710405008,-121.0,-0.0006387683714523609,0.32469117699725475,8,-99.77883708066248,-21.22116291933752,0.0,-121.0,0.0,0.0,0.0,0,0,0
2024-09-18,risk_off,189306.03710405008,189700.03710405008,394.0,0.0020812859749604396,0.32609376858513694,8,324.67103136113803,69.32896863886195,0.0,394.0,0.0,0.0,0.0,0,0,0
2024-09-19,risk_off,189700.03710405008,190003.03710405008,303.0,0.0015972585173180812,0.32716845450190407,8,249.43163939964288,53.568360600357124,0.0,303.0,0.0,0.0,0.0,0,0,0
2024-09-20,risk_off,190003.03710405008,189929.03710405008,-74.0,-0.000389467458667389,0.32690630641161716,8,-60.9434199294561,-13.056580070543896,0.0,-74.0,0.0,0.0,0.0,0,0,0
2024-09-23,risk_off,189929.03710405008,190558.03710405008,629.0,0.003311763222678851,0.32912807537870575,8,518.0790522656972,110.92094773430276,0.0,629.0,0.0,0.0,0.0,0,0,0
2024-09-24,neutral,190558.03710405008,192430.03710405008,1872.0,0.00982377877338144,0.33565445900254715,8,1543.334881560613,328.6651184393869,0.0,1872.0,0.0,0.0,0.0,0,0,0
2024-09-25,neutral,192430.03710405008,193316.73677310007,886.6996690499946,0.004607906761305364,0.4053451413882119,10,756.7952254474685,129.904443602526,0.0,886.6996690499946,3.863830949999999,0.0,6.436499999998979,2,2,0
2024-09-26,risk_on,193316.73677310007,195294.73677310007,1978.0,0.010231912833918878,0.4113679729799342,10,1688.457317832159,289.54268216784084,0.0,1978.0,0.0,0.0,0.0,0,0,0
2024-09-27,risk_on,195294.73677310007,197250.12630880007,1955.3895357000001,0.01001250503730593,0.4464382439083453,11,1553.8529813726882,401.5365543273121,0.0,1955.3895357000001,1.7294642999999996,0.0,2.8810000000000002,1,1,0
2024-09-30,risk_on,197250.12630880007,204135.76149055007,6885.635181749996,0.034908140798705294,0.4918540449104406,12,5167.80961860418,1717.825563145816,0.0,6885.635181749996,1.6373182499999999,0.0,2.7274999999997718,1,1,0
2024-10-08,risk_on,204135.76149055007,208329.76149055007,4194.0,0.02054515078287324,0.5020838081492484,12,3178.0880123136935,1015.9119876863067,0.0,4194.0,0.0,0.0,0.0,0,0,0
2024-10-09,risk_on,208329.76149055007,202005.88400735008,-6323.877483199991,-0.030355132353410027,0.46033312572527113,12,-5579.687878955905,-744.1896042440853,641.2017167999995,-6965.07919999999,1.5868061999999996,2.6446769999999997,2.645999999999926,1,0,1
2024-10-10,risk_on,202005.88400735008,213462.31995175005,11456.435944399971,0.056713377437971675,0.516039552202463,13,9658.434359299097,1798.0015851008734,0.0,11456.435944399971,1.7120555999999998,0.0,2.8520000000000323,1,1,0
2024-10-11,risk_on,213462.31995175005,212315.31995175008,-1146.999999999971,-0.005373313661442605,0.5134250322811031,13,-966.7237725671264,-180.2762274328444,0.0,-1146.999999999971,0.0,0.0,0.0,0,0,0
2024-10-14,risk_on,212315.31995175008,215272.51230935007,2957.192357599997,0.013928304176410994,0.4672496219835829,12,2432.2029561955956,524.9894014044016,3575.2923576000003,-618.1000000000031,3.4164909,5.6941515,5.696999999998553,1,0,1
2024-10-15,risk_on,215272.51230935007,212471.51230935007,-2801.0,-0.013011415019744453,0.46022640370549506,12,-2309.2316510712276,-491.7683489287723,0.0,-2801.0,0.0,0.0,0.0,0,0,0
2024-10-16,risk_on,212471.51230935007,212904.51230935007,433.0,0.0020379202618446527,0.46132418206942155,12,357.1418986336517,75.85810136634834,0.0,433.0,0.0,0.0,0.0,0,0,0
2024-10-17,risk_on,212904.51230935007,211082.51230935007,-1822.0,-0.008557827075795535,0.45667449636343027,12,-1504.0251255238807,-317.97487447611934,0.0,-1822.0,0.0,0.0,0.0,0,0,0
2024-10-18,risk_on,211082.51230935007,212799.51230935007,1717.0,0.008134259826714901,0.4610583874711685,12,1418.4110872157614,298.5889127842386,0.0,1717.0,0.0,0.0,0.0,0,0,0
2024-10-21,risk_on,212799.51230935007,212768.51230935007,-31.0,-0.00014567702558892522,0.46097986462111396,12,-25.508421524846558,-5.491578475153443,0.0,-31.0,0.0,0.0,0.0,0,0,0
2024-10-22,risk_on,212768.51230935007,213795.51230935007,1027.0,0.004826842039985767,0.4635691316878292,12,842.3122218971032,184.68777810289683,0.0,1027.0,0.0,0.0,0.0,0,0,0
2024-10-23,risk_on,213795.51230935007,214185.51230935007,390.0,0.001824172994967696,0.46454589261057355,12,319.5249198484407,70.47508015155931,0.0,390.0,0.0,0.0,0.0,0,0,0
2024-10-24,risk_on,214185.51230935007,213427.51230935007,-758.0,-0.0035389881968543872,0.4626441967654151,12,-621.1867613250828,-136.81323867491722,0.0,-758.0,0.0,0.0,0.0,0,0,0
2024-10-25,risk_on,213427.51230935007,212930.51230935007,-497.0,-0.002328659480787224,0.46138995738322836,12,-407.7419486177273,-89.25805138227271,0.0,-497.0,0.0,0.0,0.0,0,0,0
2024-10-28,risk_on,212930.51230935007,213617.51230935007,687.0,0.003226404673285675,0.4631221426112909,12,561.0940958850107,125.90590411498923,0.0,687.0,0.0,0.0,0.0,0,0,0
2024-10-29,risk_on,213617.51230935007,212208.51230935007,-1409.0,-0.006595901172931728,0.4595574368752743,12,-1153.8479317487336,-255.1520682512664,0.0,-1409.0,0.0,0.0,0.0,0,0,0
2024-10-30,risk_on,212208.51230935007,211381.51230935007,-827.0,-0.003897110398636736,0.4574430324752809,12,-675.90005687988,-151.09994312011997,0.0,-827.0,0.0,0.0,0.0,0,0,0
2024-10-31,risk_on,211381.51230935007,210715.51230935007,-666.0,-0.0031507012733702575,0.4557281946049632,12,-544.137999979173,-121.86200002082704,0.0,-666.0,0.0,0.0,0.0,0,0,0
